,,,Slip Detection,,,,,,,,,
,,,DNN,,,,,,,,,
​,​1,2,3,4,5,Mean,Std Dev,,,,,
,T + 5​,,,,,,,,T+ 5,,Mean,Std Dev
Accuracy​,0.9878329351,0.9881868861,0.9860189364,0.9851340589,0.9855764977,0.9865498628,0.001374767537,,0.9876052833,0.988299196,0.9879522397,0.0004906703832
Precision​,0.9657550494,0.9589942931,0.9678462626,0.94954097,0.9633510705,0.9610975291,0.007250758729,,0.9876026891,0.9884982752,0.9880504821,0.0006332749979
F_score​,0.9562814769,0.9581404388,0.9493112343,0.9473926664,0.9474776386,0.951720691,0.005112599684,,0.9876051442,0.9882985143,0.9879518292,0.000490286656
Recall​,0.9472583032,0.9572904043,0.9324475047,0.9452690105,0.9328499887,0.9430230423,0.01051038107,,0.98761676,0.9883351773,0.9879759687,0.0005079977109
,,,,,,,,,,,,
,T + 10,,,,,,,,T + 10,,,
Accuracy​,0.9838122218,0.9753136382,0.9851612033,0.9783713296,0.984037052,0.981339089,0.004275441519,,0.981249239,0.9803969317,0.9808230854,0.000602672284
Precision​,0.9475585145,0.8836102657,0.9633801428,0.9651910641,0.9546271949,0.9428734364,0.03387781615,,0.9813225738,0.9809358334,0.9811292036,0.0002734668014
F_score​,0.9421773228,0.9203108964,0.9445998755,0.9140616524,0.9409956578,0.932429081,0.01414881205,,0.9812488747,0.9803879663,0.9808184205,0.0006087541667
Recall​,0.9369497213,0.9672199135,0.9275408844,0.8745146568,0.9283039916,0.9269058335,0.03344136008,,0.9812651254,0.9803037956,0.9807844605,0.0006797628315
,,,,,,,,,,,,
,T + 15,,,,,,,,T + 15,,,
Accuracy​,0.9738514286,0.9770514286,0.9743542857,0.9773714286,0.9770971429,0.9759451429,0.001695562516,,0.960583073,0.9607566067,0.9606698399,0.0001227068141
Precision​,0.906207222,0.9344748023,0.9472363442,0.9370651088,0.9241295396,0.9298226034,0.01555178785,,0.9607965922,0.96075717,0.9607768811,0.00002787573077
F_score​,0.9120510644,0.9189061529,0.904295679,0.9197514407,0.9213213673,0.9152651408,0.007083803963,,0.9605808342,0.9607560855,0.9606684598,0.0001239214015
Recall​,0.9181068975,0.9046285065,0.8701062588,0.9040152689,0.9185582958,0.9030830455,0.01972261046,,0.9606326733,0.9607826463,0.9607076598,0.0001060468722
,,,,,,,,,,,,
,T + 20,,,,,,,,T + 20,,,
Accuracy​,0.9684362216,0.9726199331,0.9687151357,0.9657865377,0.9701097062,0.9691335069,0.002498578403,,0.9516800889,0.9525889273,0.9521345081,0.0006426458338
Precision​,0.9147543795,0.9296970836,0.9576633897,0.8788590546,0.9598526137,0.9281653042,0.03349450749,,0.9542045554,0.9544827774,0.9543436664,0.0001967327169
F_score​,0.879354612,0.8959808191,0.8692367926,0.8794887474,0.8761563681,0.8800434678,0.009832028994,,0.9516181747,0.9525354971,0.9520768359,0.0006486448926
Recall​,0.8504567526,0.8679944481,0.8128444384,0.8801210204,0.8213744976,0.8465582314,0.02903450939,,0.9517532244,0.952536436,0.9521448302,0.000553814229
,,,,,,,,,,,,
,,,RNN,,,,,,,,,
,,T+5,,,,,,,,,,
Accuracy​,0.9860168742,0.9833471001,0.9846893622,0.9827275945,0.9829635967,0.9839489055,0.001382875095,,,,,
Precision​,0.9366791313,0.9343691472,0.9398028072,0.9297391223,0.9216231351,0.9324426686,0.007074638584,,,,,
F_score​,0.9458396165,0.9340620512,0.9393584294,0.9320207758,0.9347004439,0.9371962634,0.005527671022,,,,,
Recall​,0.9554688421,0.9337554679,0.9389151103,0.9343313186,0.9487860767,0.9422513631,0.009532079478,,,,,
,,T+10,,,,,,,,,,
Accuracy​,0.9815608791,0.9794471262,0.9784876923,0.9798518874,0.9798368962,0.9798368962,0.001111824361,,,,,
Precision​,0.9381693983,0.9266723329,0.9189170453,0.9205746037,0.926083345,0.926083345,0.007551848678,,,,,
F_score​,0.9261751975,0.9183318324,0.9154595631,0.9216725311,0.920409781,0.920409781,0.003989269734,,,,,
Recall​,0.9149285593,0.9103675246,0.9120691221,0.9227773002,0.9150356266,0.9150356266,0.004757528193,,,,,
,,T+15,,,,,,,,,,
Accuracy​,0.9730701821,0.971424217,0.97189667,0.9721303564,0.9738474434,0.9724737738,0.0009740668485,,,,,
Precision​,0.9206303491,0.9081493756,0.9162679275,0.9150158841,0.9217615992,0.9163650271,0.005400058033,,,,,
F_score​,0.8889937876,0.8838830887,0.8838898354,0.8855889039,0.8928418459,0.8870394923,0.003855969608,,,,,
Recall​,0.8624630109,0.8627854939,0.8569016955,0.8607167334,0.8682137611,0.862216139,0.004088034616,,,,,
,,T+20,,,,,,,,,,
Accuracy​,0.969345215,0.9670515304,0.965439752,0.9672788325,0.9676249516,0.9681983727,0.001396393453,,,,,
Precision​,0.9024562293,0.9021790813,0.8899967296,0.8982106801,0.9022483683,0.9023176553,0.005345189903,,,,,
F_score​,0.8768954561,0.8638876514,0.8592972611,0.8666934562,0.8671396025,0.8703915537,0.006457868852,,,,,
Recall​,0.8548947112,0.8332643525,0.8338032656,0.8406541098,0.8386719422,0.8440795319,0.00876756094,,,,,
,,,,,,,,,,,,
,,,LSTM,,,,,,,,,
,,T+5,,,,,,,,,,
Accuracy​,0.990663166,0.9893651543,0.988775149,0.9894831553,0.9895716561,0.9896011564,0.0006848891832,,,,,
